dataset,file_type,user_id,screen_name,label,subset,followers_count,friends_count,statuses_count,favourites_count,listed_count,created_at,verified,description,location,default_profile_image,source,tweet_id,text,in_reply_to_user_id
cresci_2015,users,713380862,brucervpp,bot,INT,6.0,204.0,17.0,0.0,0.0,Tue Jul 24 00:20:18 +0000 2012,,I come.... I fuckshi up.... I leave.,In the clouds,,cresci_2015,,,
cresci_2015,users,118024286,jungleLella87,bot,E13,126.0,650.0,1656.0,20.0,0.0,Sat Feb 27 10:33:13 +0000 2010,,"rompipalle patentata e certificata, nonché grandissimo genio incompreso! :D",,,cresci_2015,,,
cresci_2015,users,1382419244,EulahBurton1,bot,INT,0.0,15.0,2.0,0.0,0.0,Fri Apr 26 17:12:08 +0000 2013,,,In my own world,,cresci_2015,,,
cresci_2015,users,1174644632,CyrrnzGearldine,bot,FSF,6.0,190.0,28.0,0.0,0.0,Wed Feb 13 09:49:30 +0000 2013,,@justinbieber  said having a little success with the opposite sex is a matter of running a simle concept:do not be a #JERK,Theworld:],,cresci_2015,,,
cresci_2015,users,922305175,FrancescaLosant,bot,E13,2.0,20.0,423.0,0.0,0.0,Sat Nov 03 02:52:49 +0000 2012,,"Mamma, moglie e fotografa per passione",,,cresci_2015,,,
cresci_2015,users,226964193,EarthquakeMG,bot,E13,260.0,350.0,16490.0,1492.0,2.0,Wed Dec 15 15:06:48 +0000 2010,,"Mariagrazia, 21 years old. || Hypersensitive. Irascible. Asocial. Incoherent. Obsesses with tidiness. Touchy. Lazy. Moody. Too kind. Too thoughtful. Dreamer. ||",Palermo,,cresci_2015,,,
cresci_2015,users,611783684,lasabrimaio,bot,E13,67.0,319.0,323.0,0.0,1.0,Mon Jun 18 15:59:08 +0000 2012,,"Ascolto, osservo, tocco, annuso, assaggio. E scrivo.",,,cresci_2015,,,
cresci_2015,users,1175872345,WoolardjuaLatin,bot,FSF,9.0,208.0,19.0,0.0,0.0,Wed Feb 13 16:13:08 +0000 2013,,i m nterested to write about electronic cigrettes,canada,,cresci_2015,,,
cresci_2015,users,507498746,nalezzai,bot,E13,117.0,295.0,1088.0,12.0,0.0,Tue Feb 28 15:14:45 +0000 2012,,La mia sarditÃ  puÃ² non piacere ad alcuni ma io sono fiera di essere sarda. ,,,cresci_2015,,,
cresci_2015,users,384932218,PensieroModerat,bot,E13,77.0,436.0,600.0,47.0,0.0,Tue Oct 04 15:47:35 +0000 2011,,voce critica dei moderati campani.,Campania,,cresci_2015,,,
cresci_2015,users,413332388,LuigiNistic,bot,E13,358.0,265.0,16961.0,2626.0,1.0,Tue Nov 15 19:16:26 +0000 2011,,Non mi prendo mai troppo seriamente... Ã¨ questo il trucco! ,Milano,,cresci_2015,,,
cresci_2015,users,72348749,juzynhasc,human,TWT,54.0,674.0,136.0,1.0,0.0,Mon Sep 07 18:35:44 +0000 2009,,Prefiro fazer e me arrepender do que imaginar como seria!!,Brasil,,cresci_2015,,,
cresci_2015,users,48364513,MARCOSRAMON,human,TWT,30.0,566.0,138.0,0.0,0.0,Thu Jun 18 14:25:30 +0000 2009,,"Proximamente Ingenieria, papä de Marcos tio de Sofy y padrino de Manuel y Manuela",Venezuela,,cresci_2015,,,
cresci_2015,users,349204176,oronloneg,bot,E13,1594.0,1994.0,2437.0,363.0,10.0,Fri Aug 05 18:43:00 +0000 2011,,"Stile libero, libero pensiero",roma,,cresci_2015,,,
cresci_2015,users,78719596,Boborosko,bot,E13,17.0,78.0,183.0,3.0,1.0,Wed Sep 30 21:59:59 +0000 2009,,al contrario degli altri utenti di Twitter che sono tutti famosi io sono un bel cazzo di nessuno e sono contento di esserlo,,,cresci_2015,,,
cresci_2015,users,1130305728,PattyGo74313164,bot,FSF,8.0,244.0,23.0,0.0,0.0,Tue Jan 29 07:19:23 +0000 2013,,#teampolo #tamfreshtodeath #teamshoegame #teammoney$ #teamjordan #teambaseballstar nd follow m bitches¡!!! Name'$ Abraham click the follow button,In your mom,,cresci_2015,,,
cresci_2015,users,761723172,DinoBenedetti,bot,E13,29.0,142.0,612.0,32.0,0.0,Thu Aug 16 15:08:48 +0000 2012,,........ norikoete,sulle colline di Tar100,,cresci_2015,,,
cresci_2015,users,934466887,MartaPerego88,bot,E13,39.0,165.0,236.0,620.0,0.0,Thu Nov 08 13:04:03 +0000 2012,,*,www.peregoalbum.it,,cresci_2015,,,
cresci_2015,users,227811080,jfburgueno,human,TWT,19.0,446.0,1.0,4.0,0.0,Fri Dec 17 21:52:54 +0000 2010,,,,,cresci_2015,,,
cresci_2015,users,173788566,Darunning,bot,E13,97.0,126.0,259.0,53.0,0.0,Mon Aug 02 10:47:15 +0000 2010,,DarioDC Varese (2*12*87) Italy ATHLETE (track and field) POLICEMAN (F.F.O.O. Team) BOMBER {F0||oWm&}                               RuNnEr,Varese,,cresci_2015,,,
cresci_2015,users,618153400,velezjti,bot,INT,6.0,245.0,29.0,0.0,0.0,Mon Jun 25 14:43:21 +0000 2012,,life´ a bitch bu i deal with it...,Copenhagen,,cresci_2015,,,
cresci_2015,users,271619712,jeismart89,human,TWT,3.0,448.0,1.0,0.0,0.0,Thu Mar 24 21:42:56 +0000 2011,,,"Casanare, Colombia",,cresci_2015,,,
cresci_2015,users,618249107,larainemcfar,bot,INT,12.0,272.0,20.0,0.0,0.0,Mon Jun 25 16:53:32 +0000 2012,,♥♡Follow Me G0rge0us♡♥ I♥ @chrisbron @mombreezy Follows Me!!! #TeamBrezy #DMVLadies #TeamWaka #TeamMinaj #TeamGetMoney #TeamPrettyGirls #TeamAndroid,DM[V]irginia,,cresci_2015,,,
cresci_2015,users,709094335,donovanjbycz,bot,INT,9.0,237.0,33.0,0.0,0.0,Sat Jul 21 14:51:07 +0000 2012,,Twitter Addicts @ll news about twitter; @ll twitersfans follow me or you can grow your twitter in my web for free orget money http://t.co/ux9K2DpF,World,,cresci_2015,,,
cresci_2015,users,1127260830,TrevorR26014998,bot,FSF,13.0,260.0,18.0,0.0,0.0,Mon Jan 28 07:13:27 +0000 2013,,"Eu sou dura e severa de um lado, vulnerável e eocional do outro. KatyPerry","Knoxville, TN 37917",,cresci_2015,,,
cresci_2015,tweets,286543,,,,,,,,,Fri Jul 01 09:24:00 +0000 2011,,,,,,86726738821918720,"@andreamartini with an iPad in your hands you'll look better. I mean, even sexier than usual!",31685559
cresci_2015,tweets,286543,,,,,,,,,Sat Sep 15 15:07:09 +0000 2012,,,,,,246988533150134274,"RT @lasoncini: dopo le ferie d'agosto non mi ricordo piÃÂ¹ il mare, e altre meraviglie http://t.co/5MJFJKPl",0
cresci_2015,tweets,24503,,,,,,,,,Mon Oct 24 12:08:57 +0000 2011,,,,,,128442855944491009,"I'm at Berlin Tegel Airport (TXL) (Flughafen Tegel, Berlin) w/ 10 others http://t.co/deSklVOp",0
cresci_2015,tweets,286543,,,,,,,,,Thu Aug 30 20:47:28 +0000 2012,,,,,,241275971586633729,"Non arrivo e non parto (@ Aeroporto di Linate ""Enrico Forlanini"" (LIN) w/ 5 others) http://t.co/V3FDWi0G",0
cresci_2015,tweets,286543,,,,,,,,,Thu Oct 11 17:05:26 +0000 2012,,,,,,256440383884623872,"RT @fivethirtyeight: Too many people trying to figure out which polls are right, when the question is which are less wrong.",0
cresci_2015,tweets,286543,,,,,,,,,Wed Jun 15 14:26:24 +0000 2011,,,,,,81004636064063488,Arctic Monkeys: Suck It and See Ã¢â¬â review | Music | The Guardian http://j.mp/mwQzzz (via Instapaper),0
cresci_2015,tweets,24503,,,,,,,,,Sat Dec 01 12:43:58 +0000 2012,,,,,,274856366093516800,@nickdaloisio @benjrooney very cool!,426731620
cresci_2015,tweets,286543,,,,,,,,,Sun May 13 15:52:39 +0000 2012,,,,,,201701499326304257,"Cosa si intende per humour britannico: ""Mancini isn't far away from putting himself on."" (il liveblogger del Guardian) http://t.co/pRBrSI8f",0
cresci_2015,tweets,286543,,,,,,,,,Sat Jun 11 15:51:21 +0000 2011,,,,,,79576462470021120,per un momento credeva che l'Europride fosse una cosa di Romano Prodi,0
cresci_2015,tweets,24503,,,,,,,,,Sun Dec 30 10:44:27 +0000 2012,,,,,,285335534098866178,@tdepace already tried :(,52434588
cresci_2015,tweets,24503,,,,,,,,,Wed Jan 20 06:40:50 +0000 2010,,,,,,7978182905,Started secret journey..very dark in the uk. Looking foward daylight.,0
cresci_2015,tweets,382393,,,,,,,,,Thu Oct 06 19:20:03 +0000 2011,,,,,,122028363081711616,great talks and discussion at the Data Science & Epidemiology workshop organized by @marcelsalathe : http://t.co/mdUO5JTC #datascience,0
cresci_2015,tweets,286543,,,,,,,,,Mon Apr 23 23:34:05 +0000 2012,,,,,,194569865951055874,"Armando Iannucci, Writer of Ã¢â¬ÅVeepÃ¢â¬Â on HBO : The New Yorker http://t.co/FHGvf3JC (via Instapaper)",0
cresci_2015,tweets,286543,,,,,,,,,Fri Jan 06 14:47:08 +0000 2012,,,,,,155299364229758976,MartedÃÂ¬ 10 gennaio serata speciale Monty Python con i @Democomica al circolo ARCI Cicco Simonetta http://t.co/J09b5PWG,0
cresci_2015,tweets,286543,,,,,,,,,Mon Dec 17 23:17:16 +0000 2012,,,,,,280813946443812864,"RT @BBCBreaking: US Democratic Senator Daniel #Inouye of Hawaii has died of respiratory complications, aged 88",0
cresci_2015,tweets,286543,,,,,,,,,Wed Aug 31 06:45:45 +0000 2011,,,,,,108792574441046016,Green party's first 100 days in Brighton: the honeymoon's not over yet | Politics | The Guardian  http://j.mp/qsZFCv (via Instapaper),0
cresci_2015,tweets,24503,,,,,,,,,Tue Nov 27 09:48:03 +0000 2012,,,,,,273362543504920578,New lobby @Balderton :) http://t.co/8JlDVqlT (@ Balderton Capital) [pic]: http://t.co/hgPo9Owd,0
cresci_2015,tweets,438023,,,,,,,,,Fri Apr 16 17:41:16 +0000 2010,,,,,,12295595534,"Photo: crashinglybeautiful: invisiblestories: Gustave Le Gray, An Effect of the Sun, Normandy [1856] http://tumblr.com/x038pa64n",0
cresci_2015,tweets,286543,,,,,,,,,Fri Feb 15 22:49:19 +0000 2013,,,,,,302550184146128897,"Il trash ÃÂ¨ una droga che dÃÂ  dipendenza, sono arrivato a casa tardi e addolorato di avere perso metÃÂ  serata #sanctumremus",0
cresci_2015,tweets,382393,,,,,,,,,Tue Mar 26 09:01:22 +0000 2013,,,,,,316474948417900546,"RT @socialphysicist: ""Mobile location data 'present anonymity risk'"" http://t.co/QmJNF5znPY On Cesar Hidalgo paper @bgoncalves",0
cresci_2015,tweets,438023,,,,,,,,,Sat Apr 17 02:38:44 +0000 2010,,,,,,12319380412,Photo: artsandcrafts: via http://tumblr.com/x038pu8o4,0
cresci_2015,tweets,24503,,,,,,,,,Sun Nov 14 18:30:38 +0000 2010,,,,,,3877484424601600,Great to see the guys @naturalmotion doing super well with Backbreaker...great ad from Verizon :) http://tinyurl.com/33rorfa,0
cresci_2015,tweets,286543,,,,,,,,,Sat Sep 22 08:20:10 +0000 2012,,,,,,249422826946314241,The GuardianÃ¢â¬â¢s future: Unguarded | The Economist http://t.co/ld6kbT4P (via Instapaper),0
cresci_2015,tweets,438023,,,,,,,,,Sun Apr 25 02:57:50 +0000 2010,,,,,,12798829758,Photo: (via lknyc) http://tumblr.com/x0391nu4n,0
cresci_2015,tweets,286543,,,,,,,,,Tue Jul 03 14:13:06 +0000 2012,,,,,,220158229227905024,@paferro la vera tassa che doveva imporre Monti era l'accisa sul dizionario,11169862
cresci_2017,users,617429491,nancytgu,bot,fake_followers.csv,17.0,305.0,24.0,0.0,0.0,Sun Jun 24 20:03:23 +0000 2012,,Blackpool is my calling....Check Website for moe....#heiscoming also onFacebook http://t.co/hHxDkeF9,I am Here but will be There,,cresci_2017,,,
cresci_2017,users,1130335195,AubreyJustice2,bot,fake_followers.csv,14.0,233.0,28.0,0.0,0.0,Tue Jan 29 07:26:20 +0000 2013,,,guatemala amatitlan,,cresci_2017,,,
cresci_2017,users,115785153,alouinwonderlnd,human,genuine_accounts.csv,226.0,116.0,20502.0,883.0,2.0,Fri Feb 19 23:22:19 +0000 2010,,"Stay driven, Stay HUNGRY... Spreading nothing but Good Vibes. â¨ || IG : alouinwonderland","2501 PH X Dubai, U.A.E",,cresci_2017,,,
cresci_2017,users,1174359487,ZirkleybpLeora,bot,fake_followers.csv,12.0,173.0,18.0,0.0,0.0,Wed Feb 13 08:17:02 +0000 2013,,Solder of OD .,San Diego,,cresci_2017,,,
cresci_2017,users,1127992975,YasminElliott2,bot,fake_followers.csv,5.0,245.0,23.0,1.0,0.0,Mon Jan 28 12:57:27 +0000 2013,,"I Share infrmatin and News.... Enjoy my Tweets!!! Follow me, I Follow Back ( #autofollowback )",united states,,cresci_2017,,,
cresci_2017,users,617694691,berrygarri,bot,fake_followers.csv,20.0,332.0,41.0,0.0,0.0,Mon Jun 25 02:30:35 +0000 2012,,,"ÃT: -5.988371,106.0330444",,cresci_2017,,,
cresci_2017,users,571300130,Grindhard_Greer,human,genuine_accounts.csv,442.0,289.0,5136.0,2759.0,1.0,Sat May 05 00:56:37 +0000 2012,,I got a Dollar and a Dream... #UTK19  Instagram/Snapchat: grindhard_greer,"Memphis, TN",,cresci_2017,,,
cresci_2017,users,1175819569,DownerbxbDara,bot,fake_followers.csv,8.0,175.0,14.0,0.0,0.0,Wed Feb 13 16:02:20 +0000 2013,,Mom By DY Go GetTa ByNigHT!!!,N beTweEn Ya GuLz LeGz,,cresci_2017,,,
cresci_2017,users,617745271,blakeiww,bot,fake_followers.csv,16.0,289.0,19.0,0.0,0.0,Mon Jun 25 03:48:36 +0000 2012,,First Mai footall player #Doinitbig\,61fo,,cresci_2017,,,
cresci_2017,users,101557278,DraQu_,human,genuine_accounts.csv,22.0,407.0,194.0,79.0,1.0,Sun Jan 03 19:50:24 +0000 2010,,"I speedrun water and drink games. I also stream on twitch and upload highlights to youtube. Hi Quake.. erhm, mom!",Finland,,cresci_2017,,,
cresci_2017,users,2781321025,me_Mardanie,human,genuine_accounts.csv,55.0,110.0,684.0,114.0,1.0,Sat Aug 30 23:41:36 +0000 2014,,I dont have time for the people who hate me because I am busy loving the people who love me.,,,cresci_2017,,,
cresci_2017,users,538865597,StefaniaUbaldi,bot,social_spambots_1.csv,0.0,0.0,50.0,0.0,0.0,Wed Mar 28 08:51:59 +0000 2012,,Secondo lui viaggiare da solo era come andare in analisi: si scoprivano molte cose su stessi.(Amy Hempel),Agrigento,,cresci_2017,,,
cresci_2017,users,1175972964,LawtonffeConnie,bot,fake_followers.csv,8.0,221.0,21.0,0.0,0.0,Wed Feb 13 16:37:33 +0000 2013,,,Denmark,,cresci_2017,,,
cresci_2017,users,616224313,devincarneyral,bot,fake_followers.csv,38.0,827.0,96.0,0.0,0.0,Sat Jun 23 15:48:23 +0000 2012,,"Sharp, sensitiv, woman of the South. Married with ids.",Azania,,cresci_2017,,,
cresci_2017,users,261627134,cool9010,bot,fake_followers.csv,61.0,490.0,170.0,0.0,0.0,Sun Mar 06 10:14:51 +0000 2011,,,dammam,,cresci_2017,,,
cresci_2017,users,616779519,mckinneyivxq,bot,fake_followers.csv,20.0,349.0,42.0,0.0,0.0,Sun Jun 24 02:58:15 +0000 2012,,Almost mous,Sweden,,cresci_2017,,,
cresci_2017,users,1027713949,H3LLoo_,human,genuine_accounts.csv,483.0,241.0,19532.0,3124.0,2.0,Sat Dec 22 04:00:45 +0000 2012,,God above all | Taken since 08/12/14 @LexiiMarshea5 | Senior | 18 | #LaFamilia |,Gibson County,,cresci_2017,,,
cresci_2017,users,2354846455,ClaudeCorradino,bot,social_spambots_2.csv,5.0,38.0,69.0,0.0,0.0,Fri Feb 21 13:59:28 +0000 2014,,,,,cresci_2017,,,
cresci_2017,users,466249274,VanessaDasteni,bot,social_spambots_1.csv,0.0,0.0,84.0,0.0,0.0,Tue Jan 17 06:24:03 +0000 2012,,Ogni volta che cerco di dire qualcosa mi vengono sempre le parole meno adatte se non addirittura opposte a quelle che vorrei dire.,Napoli ,,cresci_2017,,,
cresci_2017,users,2357918882,RenaDiwan,bot,social_spambots_2.csv,11.0,41.0,65.0,0.0,0.0,Sun Feb 23 12:19:34 +0000 2014,,,,,cresci_2017,,,
cresci_2017,users,2359467740,JiHouchins,bot,social_spambots_2.csv,5.0,38.0,44.0,0.0,0.0,Mon Feb 24 13:00:59 +0000 2014,,,,,cresci_2017,,,
cresci_2017,users,198700618,gsignoret,human,genuine_accounts.csv,1903.0,790.0,23996.0,2811.0,61.0,Tue Oct 05 00:49:39 +0000 2010,,"Asset allocation head at own investment advisory. Economist and writer. I tweet on global markets and economy, social justice, language, literature, arts.",Mexico,,cresci_2017,,,
cresci_2017,users,1129923780,VivianaSnider1,bot,fake_followers.csv,16.0,264.0,16.0,0.0,0.0,Tue Jan 29 03:28:57 +0000 2013,,simpleute,bulacan,,cresci_2017,,,
cresci_2017,users,2362464902,YunSchardt,bot,social_spambots_2.csv,3.0,35.0,55.0,0.0,0.0,Wed Feb 26 10:15:05 +0000 2014,,,,,cresci_2017,,,
cresci_2017,users,1174760396,StringfieldprjL,bot,fake_followers.csv,10.0,189.0,24.0,0.0,0.0,Wed Feb 13 10:21:26 +0000 2013,,"iCute iSexy iRock iRule Nice iAnAddictn iCareerBoi iThaBoifwndYouWsh YouHadâ¥ igAt An !nfluEnce 0n ppl,if u dnt waNa gEt add!ctd  mE neVa sAy *HI*",Wiv Yha GalFwend :D,,cresci_2017,,,
cresci_2017,tweets,722623,,,,,,,,,Mon Sep 23 00:33:20 +0000 2013,,,,,,381939301363113984,RT @FauxJohnMadden: That awkward moment when the Jaguars scored 14 more points against the Seahawks than the 49ers did.,0
cresci_2017,tweets,722623,,,,,,,,,Sun Aug 03 22:22:31 +0000 2014,,,,,,496058559348867072,[blog post:] San Diego bike ride pics http://t.co/XOA6GfwVsN,0
cresci_2017,tweets,678033,,,,,,,,,Thu Jan 15 19:47:59 +0000 2015,,,,,,555813668001030144,#fb Look what came in the mail today! A little nosh for an upcoming @morningJewShow #KathyAckerâ¦ http://t.co/9gD6RYwgX8,0
cresci_2017,tweets,722623,,,,,,,,,Tue Jul 22 23:25:18 +0000 2014,,,,,,491725702639521792,"@RadioRewinder tough one. I'd vote for either MusicRadio 77 WABC, or Z100. Without WABC there probably wouldn't have been a Z100.",2464058527
cresci_2017,tweets,722623,,,,,,,,,Fri Aug 29 13:45:13 +0000 2014,,,,,,505350461256245248,"RT @AZATHLETICS: Tucson fans, @Greg_Byrne will be on @KIIM995 at apprx 7am. Listen on 99.5 FM. #BearDown #BeThe1",0
cresci_2017,tweets,722623,,,,,,,,,Sat Sep 07 00:21:42 +0000 2013,,,,,,376138169449607168,Hey @porkchop995 -thanks for dinner! http://t.co/o3M9LIh7E0,0
cresci_2017,tweets,678033,,,,,,,,,Fri Mar 27 19:26:41 +0000 2015,,,,,,581537846340677632,"Jewish male comics make fun of Jewish women for decades, but turn it around once and it's anti-Semitism? http://t.co/3oh4XCBeZl #lenadunham",0
cresci_2017,tweets,722623,,,,,,,,,Tue Apr 08 20:45:16 +0000 2014,,,,,,453634703258427395,@ArizonaDOT haha. Thanks for the laugh.,16221481
cresci_2017,tweets,722623,,,,,,,,,Mon Sep 02 15:53:40 +0000 2013,,,,,,374560767452127232,"[blog post:] They tried to talk me out of it, but I put my money where my mouth is: $5 that the Jaguars will wi... http://t.co/tyzfqHmOH6",0
cresci_2017,tweets,678033,,,,,,,,,Tue Mar 31 22:23:27 +0000 2015,,,,,,583031883585351680,"RT @aparnapkin: GO SEE THIS LAUGH CHAMP ""@MrEmilyHeller: PLEASE CONSIDER THIS TOUR! http://t.co/LeZKcyLshq http://t.co/bjHtD7hbT2â",0
cresci_2017,tweets,678033,,,,,,,,,Sun Nov 23 19:31:14 +0000 2014,,,,,,536602896477847554,RT @Blackamazon: So for all the people who are adamant that sex work isn't a choice because of poverty why aren't you working to fix poverty,0
cresci_2017,tweets,755116,,,,,,,,,Tue Feb 10 08:21:47 +0000 2015,,,,,,565063063296950273,So 101 smallt things checked and it seems that it works. Now lets time the live push â¦,0
cresci_2017,tweets,722623,,,,,,,,,Wed Apr 02 18:18:32 +0000 2014,,,,,,451423450725249024,needs a beach.,0
cresci_2017,tweets,722623,,,,,,,,,Wed Jan 29 18:33:21 +0000 2014,,,,,,428596746457849856,"@ATLCadillac Hope you and your city are doing OK. If there's anything we can do for you (besides push some sunshine your way), let us know!",21239860
cresci_2017,tweets,722623,,,,,,,,,Wed Nov 12 00:45:35 +0000 2014,,,,,,532333348987736065,Your mom came by my station in Jacksonville in the 90s and hung out with us and Tim McGraw's mom #FollowMeGarth @garthbrooks,0
cresci_2017,tweets,722623,,,,,,,,,Thu Oct 31 15:23:10 +0000 2013,,,,,,395933973429243905,High Speed Chase in LA: http://t.co/B694snaAIA,0
cresci_2017,tweets,678033,,,,,,,,,Fri Mar 27 05:35:41 +0000 2015,,,,,,581328719337295872,"Pretty sure Indiana's Governor was hoping for backlash to ""outbutch"" Walker for GOP Primaries. Til he needs help from a gay surgeon.",0
cresci_2017,tweets,755746,,,,,,,,,Mon Feb 16 21:41:29 +0000 2015,,,,,,567438640322981888,"I'm at O2 Fit in Las Condes, RegiÃ³n Metropolitana https://t.co/oXPQySvzy1",0
cresci_2017,tweets,755116,,,,,,,,,Wed Mar 11 07:03:20 +0000 2015,,,,,,575552568769798145,@lenawash Japan just lacks sarcasm. That is a utter foreign concept to them.,41316632
cresci_2017,tweets,755116,,,,,,,,,Wed Dec 31 13:00:33 +0000 2014,,,,,,550275316640268288,One more let it go. Why. And now smap. #kohaku #ç´ç½,0
cresci_2017,tweets,755746,,,,,,,,,Wed Feb 25 15:08:53 +0000 2015,,,,,,570601331712512000,"@joshuacurrier @carmv @phishb13 ah, much tricker then.  good luck w/ your search!",16221285
cresci_2017,tweets,678033,,,,,,,,,Mon Dec 15 01:22:11 +0000 2014,,,,,,544301359680323585,Bless you for the grab. Sign of the year #EISTC â@sportjules: This one is for @marikotamaki &amp; @heathr http://t.co/DcfjVhbCUUâ,0
cresci_2017,tweets,722623,,,,,,,,,Mon Aug 11 23:21:43 +0000 2014,,,,,,498972558687866880,@BadMorningShow phone topic idea: who's your favorite TV alien? Too soon?,962446921
cresci_2017,tweets,755116,,,,,,,,,Mon Oct 20 00:47:13 +0000 2014,,,,,,523998841868017666,"AAAAH. fucking again, quitting vmware instead of quitting the app running inside vmware.App quit needs some security here.",0
cresci_2017,tweets,722623,,,,,,,,,Wed May 28 13:59:39 +0000 2014,,,,,,471652020873486336,Has anyone seen Maya Angelou lately?,0
twibot_2020,users,860606086570811394,UN_OROLSI ,bot,train,3162.0,537.0,2684.0,3350.0,24.0,Fri May 05 21:24:15 +0000 2017 ,False ,"We work in the areas of Justice and Corrections, Disarmament, Demobilization and Reintegration, Security Sector Reform, @UNPOL & @UNMAS within @UNPeacekeeping ","New York, USA ",False ,twibot_20,,,
twibot_2020,users,1296437137529765888,juss_will747 ,bot,train,1.0,68.0,8.0,23.0,0.0,Thu Aug 20 13:21:30 +0000 2020 ,False ,#Loyalty #BLM , ,False ,twibot_20,,,
twibot_2020,users,282064204,DaniCarvajal92 ,human,train,3995164.0,383.0,2422.0,1428.0,3336.0,Thu Apr 14 13:42:13 +0000 2011 ,True ,Cuenta oficial de Daniel Carvajal. Jugador del @realmadrid y @sefutbol  🇪🇸 Instagram: dani.carvajal.2 ,Madrid ,False ,twibot_20,,,
twibot_2020,users,2450551725,robynthomps59 ,bot,train,5641.0,6197.0,27502.0,22354.0,4.0,Mon Mar 31 19:39:04 +0000 2014 ,False ,Stands left of center. Runs w/ scissors. No DMs/FB requests. Don’t do it. Married. BOTS/suspicious profiles blocked. Opinions are my own. #Resist #Impeach45 ,"Maryland, USA ",False ,twibot_20,,,
